timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776025781000,807,config 3 request,200,OK,config 3 3-1,text,false,"The operation lasted too long: It took 807 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,2,6,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=3,798,0,175
1776025781000,935,config 2 request,200,OK,config 2 2-1,text,false,"The operation lasted too long: It took 935 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,2,6,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=2,935,0,120
1776025781751,818,config 3 request,200,OK,config 3 3-2,text,false,"The operation lasted too long: It took 818 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,2,6,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=3,818,0,95
1776025781750,1118,config 2 request,200,OK,config 2 2-2,text,false,"The operation lasted too long: It took 1,118 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,3,9,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=2,1118,0,185
1776025782429,624,config 3 request,200,OK,config 3 3-1,text,true,,231,167,3,9,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=3,624,0,0
1776025782429,882,config 2 request,200,OK,config 2 2-1,text,false,"The operation lasted too long: It took 882 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,3,9,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=2,882,0,0
1776025782742,870,config 3 request,200,OK,config 3 3-3,text,false,"The operation lasted too long: It took 870 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,3,9,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=3,869,0,218
1776025782737,1025,config 2 request,200,OK,config 2 2-3,text,false,"The operation lasted too long: It took 1,025 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,4,12,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=2,1025,0,183
1776025783249,648,config 3 request,200,OK,config 3 3-2,text,true,,231,167,4,12,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=3,648,0,0
1776025783249,873,config 2 request,200,OK,config 2 2-2,text,false,"The operation lasted too long: It took 873 milliseconds, but should not have lasted longer than 775 milliseconds.",231,167,4,12,http://stload.se.ifmo.ru:8080/?token=518477874&user=-1355069478&config=2,873,0,0
